# west on floor = top on gluex
97 ZQ2753 H10534MOD down TOF-S-5 Y-05 -1
98 ZQ2300 H10534MOD up TOF-S-6 Y-06 -1
99 ZQ2594 H10534MOD down TOF-S-7 Y-07 -1
100 ZQ2729 H10534MOD up TOF-S-8 Y-08 -1
101 ZQ2673 H10534MOD down TOF-S-9 Y-09 -1
102 ZQ2685 H10534MOD up TOF-S-10 Y-10 -1
103 ZQ2760 H10534MOD down TOF-S-11 Y-11 -1
104 ZQ2604 H10534MOD up TOF-S-12 Y-12 -1
105 ZQ2772 H10534MOD down TOF-S-13 Y-13 -1
106 ZQ2513 H10534MOD up TOF-S-14 Y-14 -1
107 ZQ2651 H10534MOD down TOF-S-15 Y-15 -1
108 ZQ2737 H10534MOD up TOF-S-16 Y-16 -1
109 ZQ3017 H10534MOD down TOF-S-17 Y-17 -1
110 ZQ2248 H10534MOD up TOF-S-18 Y-IN-1 -1
111 ZQ3003 H10534MOD down TOF-S-19 Y-IN-2 -1
112 WA0463 H13795MOD up TOF-S-20 Y-IN-3 -1
113 WA0462 H13795MOD down TOF-S-21 Y-IN-4 -1
114 WA0454 H13795MOD up TOF-S-22 Y-IN-5R -1
115 WA0527 H13795MOD down TOF-S-45 Y-IN-6R -1
116 ZQ2520 H10534MOD up TOF-S-46 Y-IN-7R -1
117 ZQ2828 H10534MOD down TOF-S-23 Y-IN-8R -1
118 ZQ2751 H10534MOD up TOF-S-24 Y-IN-9 -1
119 ZQ2255 H10534MOD down TOF-S-25 Y-IN-10 -1
120 WA0467 H13795MOD up TOF-S-26 Y-IN-11 -1
121 ZQ3012 H10534MOD down TOF-S-27 Y-IN-12 -1
122 ZQ2742 H10534MOD up TOF-S-28 Y-28 -1
123 ZQ3074 H10534MOD down TOF-S-29 Y-29 -1
124 ZQ2650 H10534MOD up TOF-S-30 Y-30 -1
125 ZQ2582 H10534MOD down TOF-S-31 Y-31 -1
126 ZQ2774 H10534MOD up TOF-S-32 Y-32 -1
127 ZQ2246 H10534MOD down TOF-S-33 Y-33 -1
128 ZQ2510 H10534MOD up TOF-S-34 Y-34 -1
129 ZQ2598 H10534MOD down TOF-S-35 Y-35 -1
130 ZQ2607 H10534MOD up TOF-S-36 Y-36 -1
131 ZQ2522 H10534MOD down TOF-S-37 Y-37 -1
132 ZQ2842 H10534MOD up TOF-S-38 Y-38 -1
133 ZQ2613 H10534MOD down TOF-S-39 Y-39 -1
134 ZQ2804 H10534MOD up TOF-S-40 Y-40 -1
135 ZQ2269 H10534MOD down TOF-S-41 Y-41 -1
136 ZQ2475 H10534MOD up TOF-S-42 Y-42 -1
137 ZQ2839 H10534MOD down TOF-S-43 Y-43 -1
138 ZQ2503 H10534MOD up TOF-S-44 Y-44 -1
# south on floor = north on gluex
139 ZQ3038 H10534MOD up TOF-N-44 Y-44 +1
140 ZQ2805 H10534MOD down TOF-N-43 Y-43 +1
141 ZQ2265 H10534MOD up TOF-N-42 Y-42 +1
142 ZQ2564 H10534MOD down TOF-N-41 Y-41 +1
143 ZQ2500 H10534MOD up TOF-N-40 Y-40 +1
144 ZQ2508 H10534MOD down TOF-N-39 Y-39 +1
145 ZQ2836 H10534MOD up TOF-N-38 Y-38 +1
146 ZQ2576 H10534MOD down TOF-N-37 Y-37 +1
147 ZQ2514 H10534MOD up TOF-N-36 Y-36 +1
